ms,g
105,-32.7901
182,-40.6217
266,-166.0258
380,-356.1445
447,-579.4052
531,-777.9667
610,-949.6947
734,-1065.8879
805,-1108.0557
906,-1067.7415
984,-969.8607
1080,-794.3496
1151,-596.9204
1255,-378.8949
1370,-178.2815
1445,-36.4303
1522,-15.5001
1632,1.7769
1717,-5.227
1813,-4.4832
1890,-0.016
1994,-2.9241
2055,0.1998
2152,-2.9976
2265,-3.8892
2328,-1.9173
2420,0.6674
2536,-4.8277
2630,4.6167
2699,1.1381
2799,0.699
2876,-3.3738
2971,0.9692
3050,-3.1373
3133,3.7126
3240,-4.5905
3317,3.8397
3412,-5.3969
3502,-2.2106
