ms,g
102,-8.0442
187,-33.6787
259,-60.2268
351,-89.3716
445,-119.7845
550,-142.9659
612,-167.0063
712,-192.3482
798,-221.3596
898,-247.1342
1010,-270.6086
1070,-294.4197
1164,-315.0633
1267,-339.8817
1351,-362.5055
1457,-385.5375
1542,-411.9687
1600,-438.78
1702,-466.6676
1810,-495.0486
1881,-521.864
1969,-548.543
2050,-576.8061
2152,-606.6285
2266,-637.8506
2350,-671.1421
2435,-699.9003
2513,-727.8383
2624,-758.9738
2700,-789.6294
2769,-816.0464
2888,-843.0792
2954,-873.3131
3069,-900.8977
3131,-929.1678
3249,-960.783
3309,-991.8723
3431,-1021.0692
3526,-1050.9485
3613,-1080.0255
3676,-1106.9048
3777,-1134.7306
3868,-1161.3455
3969,-1186.648
4069,-1212.8324
4150,-1244.7708
4247,-1273.3452
4335,-1305.1896
4414,-1340.7934
4502,-1371.4012
4603,-1405.5503
4690,-1432.8313
4754,-1454.3817
4867,-1471.4408
4962,-1480.6946
5061,-1480.2945
5147,-1469.2057
5241,-1449.1925
5310,-1425.8892
5382,-1393.5048
5494,-1361.8328
5586,-1326.0842
5681,-1289.0825
5746,-1255.0858
5854,-1222.1713
5956,-1193.5401
6046,-1162.7113
6131,-1133.7297
6209,-1107.8465
6299,-1079.603
6370,-1052.6786
6459,-1024.4011
6555,-993.575
6676,-963.0445
6747,-931.2552
6842,-900.6501
6926,-873.978
7004,-842.3495
7109,-815.4048
7219,-786.0729
7283,-754.6655
7388,-725.2672
7466,-694.9703
7556,-667.0891
7643,-637.5239
7747,-605.4303
7849,-578.2683
7927,-547.4556
8021,-517.9864
8101,-491.9497
8195,-463.1633
8288,-436.9067
8375,-410.7923
8448,-383.8711
8546,-357.6973
8658,-331.8803
8739,-307.9671
8803,-286.4299
8895,-259.7147
8991,-234.4657
9090,-208.1184
9190,-182.0131
9269,-154.943
9376,-132.2059
9451,-107.943
9556,-83.9934
9649,-55.3057
9727,-36.6716
9793,-10.0352
9917,-0.2519
10003,0.3426
10090,-1.4316
10153,0.6971
10246,1.1862
10351,0.0874
10431,-0.7372
10544,0.0649
10636,-0.681
10699,0.5306
10819,0.4581
10893,-0.3804
10997,1.2845
11083,1.0388
11158,1.1162
11232,0.615
11336,-0.206
