ms,g
71,-7.5668
199,-28.1605
256,-47.622
365,-72.1365
459,-94.2377
520,-113.1282
610,-133.6019
715,-153.2279
818,-175.338
911,-196.9661
1009,-217.373
1068,-234.8984
1150,-253.2583
1269,-270.3383
1350,-290.2117
1461,-308.3483
1517,-330.119
1613,-350.4158
1705,-371.0482
1801,-392.5941
1897,-417.4897
1967,-437.6222
2073,-462.9249
2159,-486.4263
2267,-509.1683
2336,-534.4271
2441,-560.2626
2515,-581.2812
2610,-607.1109
2700,-630.4301
2800,-651.7129
2880,-674.4611
2966,-695.4689
3051,-718.7356
3146,-741.465
3240,-766.31
3325,-791.2688
3418,-814.6872
3501,-837.686
3616,-860.3721
3669,-884.1523
3764,-905.4787
3855,-925.9677
3955,-947.9946
4043,-968.9098
4127,-992.6286
4230,-1016.0377
4312,-1042.2549
4397,-1067.9511
4493,-1094.5572
4600,-1121.5619
4688,-1142.5465
4775,-1160.9858
4844,-1174.5304
4969,-1181.5178
5031,-1180.1072
5123,-1173.1295
5219,-1158.9383
5311,-1137.7141
5390,-1113.8872
5478,-1086.8484
5594,-1058.8751
5683,-1030.1053
5760,-1001.5075
5844,-977.4028
5930,-952.5577
6030,-929.0912
6138,-905.6265
6217,-885.179
6284,-860.843
6388,-839.9875
6466,-817.4826
6584,-792.4889
6659,-770.1483
6751,-742.927
6823,-720.3903
6926,-697.524
7035,-673.8738
7100,-649.5408
7198,-626.0121
7290,-604.1937
7366,-579.7487
7453,-554.8076
7557,-531.7197
7663,-507.6441
7754,-482.8228
7823,-458.9351
7911,-437.9538
8008,-413.7048
8109,-392.8101
8196,-369.9615
8283,-348.8636
8349,-328.5446
8477,-306.7043
8539,-286.5156
8656,-266.6547
8746,-247.1896
8841,-228.1507
8926,-208.412
8991,-189.3569
9072,-166.7676
9158,-145.8809
9273,-124.7565
9363,-104.3124
9438,-87.0129
9554,-66.7193
9618,-44.3261
9709,-27.7384
9819,-9.6841
9880,1.303
9994,0.3415
10079,1.2454
10162,-0.8662
10249,-0.1954
10359,-0.6865
10432,-0.6053
10541,-1.172
10610,1.3696
10695,0.851
10798,-0.8011
10891,0.4891
10964,0.4578
11055,-0.0426
11158,0.6813
11258,0.1451
11345,1.228
11411,-0.0455
11540,-0.5834
