ms,g
97,-65.15
192,-339.656
273,-594.2623
362,-920.8763
430,-1193.9421
541,-1432.6331
644,-1663.2384
725,-1935.5997
805,-2187.4055
879,-2479.0795
1000,-2703.5264
1092,-2933.1666
1150,-3175.8678
1245,-3387.0686
1329,-3641.9854
1448,-3882.112
1528,-4119.6399
1619,-4395.4569
1717,-4661.8494
1797,-4923.247
1896,-5205.1808
1986,-5501.4802
2063,-5786.7404
2158,-6091.0291
2245,-6386.1546
2325,-6714.4331
2440,-7011.8459
2511,-7262.9349
2593,-7614.3999
2721,-7874.2393
2811,-8177.5909
2882,-8456.8039
2965,-8714.3588
3056,-9008.3019
3161,-9286.4058
3243,-9598.8038
3312,-9914.7622
3437,-10219.499
3515,-10519.4332
3594,-10786.913
3686,-11075.1718
3773,-11328.2878
3891,-11590.9609
3958,-11856.3457
4039,-12146.0239
4149,-12445.0303
4241,-12726.2384
4304,-13062.9856
4396,-13384.522
4508,-13722.387
4606,-14032.2654
4667,-14327.6649
4760,-14546.164
4851,-14709.8406
4969,-14803.6153
5033,-14781.6959
5124,-14698.8312
5235,-14496.0869
5316,-14245.7655
5420,-13933.4144
5498,-13594.3594
5594,-13243.8502
5665,-12910.3729
5766,-12560.0726
5870,-12231.9498
5943,-11931.9875
6039,-11646.1888
6138,-11346.7783
6199,-11075.8703
6297,-10816.2519
6400,-10536.1649
6496,-10230.326
6583,-9918.7114
6679,-9636.356
6734,-9320.5106
6850,-9026.3136
6941,-8727.4986
7022,-8447.35
7129,-8155.4512
7205,-7858.5287
7274,-7563.2532
7390,-7249.3643
7450,-6973.2339
7557,-6670.7801
7658,-6364.7958
7729,-6052.89
7833,-5768.6969
7911,-5471.1938
8012,-5209.7168
8102,-4913.303
8170,-4661.6793
8271,-4361.0519
8367,-4107.8863
8446,-3858.357
8561,-3578.0514
8645,-3338.191
8733,-3106.3237
8807,-2870.7914
8891,-2617.776
9012,-2342.3445
9076,-2096.7608
9190,-1801.0332
9249,-1530.4512
9343,-1297.8471
9429,-1060.6953
9529,-839.7996
9641,-566.3682
9716,-348.7834
9812,-129.8013
9881,-14.6869
9999,9.1231
10085,-7.5558
10169,-3.9604
10268,4.6148
10336,11.1791
10427,8.9509
10546,0.0602
10634,-1.784
10719,10.9668
10802,-6.288
10895,10.6067
10970,-4.9735
11080,-8.1799
11169,3.974
11239,-5.6016
11333,7.8363
11429,2.9627
11504,14.4955
11606,11.772
11716,14.4815
11792,5.3108
11877,-11.1803
11978,-2.5633
12069,-8.9878
12142,-17.188
